year,tid,oid
2019,19,19
2020,19,19
2019,21,21
2020,21,21
2019,2,2
2020,2,2
2019,23,23
2020,23,23
2019,26,26
2019,20,20
2020,20,20
2019,13,13
2020,13,13
2019,9,9
2020,9,9
2019,16,16
2020,16,16
2020,14,14
2019,5,5
2019,27,27
2020,27,27
2019,24,24
2019,15,15
2019,4,4
2020,4,4
2020,5,5
2020,6,6
2019,3,3
2020,3,3
2019,1,1
2020,1,1
2019,14,14
2020,26,26
2019,17,17
2020,17,17
2019,11,11
2020,11,11
2019,8,8
2020,8,8
2020,24,24
2019,12,12
2020,12,12
2019,28,28
2020,28,28
2019,29,29
2020,29,29
2019,7,7
2020,7,7
2020,18,18
2019,30,30
2020,30,30
2019,22,22
2020,22,22
2019,10,10
2020,10,10
2020,15,15
2019,25,25
2020,25,25
2019,18,18
2019,6,6