pid,name,pos_name
1,Aaron Gordon,PF
2,Aaron Holiday,PG
3,Abdel Nader,SF
4,Adam Mokoka,SG
5,Admiral Schofield,SG
6,Al Farouq Aminu,PF
7,Al Horford,PF
8,Alan Williams,C
9,Alec Burks,SG
10,Alen Smailagic,PF
11,Alex Abrines,SG
12,Alex Caruso,SG
13,Alex Len,C
14,Alex Poythress,SF
15,Alfonzo McKinnie,SF
16,Alize Johnson,PF
17,Allen Crabbe,SG
18,Allonzo Trier,SG
19,Amile Jefferson,PF
20,Amir Coffey,SG
21,Amir Johnson,SF
22,Andre Drummond,C
23,Andre Iguodala,SG
24,Andre Ingram,SG
25,Andre Roberson,SG
26,Andrew Bogut,C
27,Andrew Harrison,SG
28,Andrew Wiggins,SF
29,Anfernee Simons,SG
30,Angel Delgado,C
31,Ante Zizic,C
32,Anthony Davis,PF
33,Anthony Tolliver,PF
34,Antonio Blakeney,SG
35,Antonius Cleveland,SG
36,Anzejs Pasecniks,C
37,Aron Baynes,C
38,Austin Rivers,SG
39,Avery Bradley,PG
40,Bam Adebayo,PF
41,Ben McLemore,SF
42,Ben Simmons,PG
43,Billy Garrett Jr.,SG
44,Bismack Biyombo,C
45,BJ Johnson,SF
46,Blake Griffin,PF
47,Boban Marjanovic,C
48,Bobby Portis,SF
49,Bogdan Bogdanovic,SG
50,Bojan Bogdanovic,SF
51,Bol Bol,C
52,Bonzie Colson,SF
53,Brad Wanamaker,SG
54,Bradley Beal,SG
55,Brandon Clarke,SF
56,Brandon Goodwin,PG
57,Brandon Ingram,SF
58,Brandon Knight,PG
59,Brandon Sampson,SG
60,Brian Bowen II,SG
61,Brook Lopez,C
62,Bruce Brown,SG
63,Bruno Caboclo,SF
64,Bruno Fernando,C
65,Bryn Forbes,SG
66,Buddy Hield,SG
67,C.J. Miles,SG
68,C.J. Williams,SG
69,Caleb Martin,SF
70,Caleb Swanigan,PF
71,Cam Reddish,SG
72,Cameron Johnson,SF
73,Cameron Payne,PG
74,Cameron Reynolds,SG
75,Caris LeVert,SG
76,Carmelo Anthony,PF
77,Carsen Edwards,PG
78,Cedi Osman,SF
79,Chandler Hutchison,SF
80,Chandler Parsons,SF
81,Channing Frye,SF
82,Charlie Brown,SG
83,Chasson Randle,SG
84,Cheick Diallo,PF
85,Chimezie Metu,SF
86,Chris Boucher,PF
87,Chris Chiozza,PG
88,Chris Clemons,PG
89,Chris Paul,SG
90,Chris Silva,PF
91,Christian Wood,C
92,CJ McCollum,SG
93,Clint Capela,C
94,Coby White,PG
95,Cody Martin,SF
96,Cody Zeller,C
97,Collin Sexton,PG
98,Corey Brewer,SG
99,Cory Joseph,PG
100,Courtney Lee,SG
101,Cristiano Felicio,PF
102,D.J. Augustin,SG
103,D.J. Wilson,SF
104,D'Angelo Russell,SG
105,Dairis Bertans,SG
106,Damian Jones,C
107,Damian Lillard,PG
108,Damion Lee,SG
109,Damyean Dotson,SG
110,Daniel Gafford,PF
111,Daniel Hamilton,SF
112,Daniel Theis,C
113,Danilo Gallinari,SF
114,Danny Green,SG
115,Dante Cunningham,SF
116,Dante Exum,PG
117,Danuel House Jr.,SF
118,DaQuan Jeffries,SG
119,Dario Saric,PF
120,Darius Bazley,SF
121,Darius Garland,PG
122,Darius Miller,SF
123,Darren Collison,SG
124,Daryl Macon,SG
125,David Nwaba,SG
126,Davis Bertans,SF
127,Davon Reed,SG
128,De'Aaron Fox,PG
129,De'Andre Hunter,SF
130,De'Anthony Melton,SG
131,Dean Wade,PF
132,Deandre Ayton,C
133,DeAndre Jordan,C
134,DeAndre' Bembry,SG
135,Dejounte Murray,PG
136,Delon Wright,SG
137,DeMar DeRozan,SF
138,DeMarcus Cousins,C
139,DeMarre Carroll,SF
140,Demetrius Jackson,SG
141,Deng Adel,SF
142,Dennis Schroder,SG
143,Dennis Smith Jr.,PG
144,Denzel Valentine,SG
145,Deonte Burton,SG
146,Derrick Favors,C
147,Derrick Jones Jr.,SF
148,Derrick Rose,PG
149,Derrick Walton Jr.,PG
150,Derrick White,PG
151,DeVaughn Akoon Purcell,SG
152,Devin Booker,SG
153,Devin Harris,SG
154,Devin Robinson,SF
155,Devon Hall,SF
156,Devontae Cacok,C
157,Devonte' Graham,PG
158,Dewan Hernandez,C
159,Dewayne Dedmon,C
160,Deyonta Davis,SF
161,Dillon Brooks,SG
162,Dion Waiters,SG
163,Dirk Nowitzki,SF
164,DJ Stephens,SG
165,Domantas Sabonis,PF
166,Donatas Motiejunas,SF
167,Donovan Mitchell,SG
168,Donta Hall,PF
169,Donte DiVincenzo,SG
170,Donte Grantham,SF
171,Dorian Finney Smith,SF
172,Doug McDermott,SF
173,Dragan Bender,SF
174,Draymond Green,PF
175,Drew Eubanks,PF
176,Duncan Robinson,SG
177,Dusty Hannahs,SG
178,Dwayne Bacon,SG
179,Dwight Howard,C
180,Dwight Powell,C
181,Dwyane Wade,SG
182,Dzanan Musa,SF
183,E'Twaun Moore,SG
184,Ed Davis,SF
185,Edmond Sumner,PG
186,Ekpe Udoh,SF
187,Elfrid Payton,PG
188,Elie Okobo,SG
189,Emanuel Terry,SF
190,Emmanuel Mudiay,PG
191,Enes Kanter,C
192,Eric Bledsoe,SG
193,Eric Gordon,SG
194,Eric Mika,PF
195,Eric Moreland,C
196,Eric Paschall,PF
197,Ersan Ilyasova,SF
198,Evan Fournier,SG
199,Evan Turner,SG
200,Frank Jackson,PG
201,Frank Kaminsky,SF
202,Frank MasonIII,SG
203,Frank Ntilikina,PG
204,Fred VanVleet,SG
205,Furkan Korkmaz,SG
206,Gabe Vincent,PG
207,Garrett Temple,SG
208,Garrison Mathews,SG
209,Gary Clark,PF
210,Gary Harris,SG
211,Gary Payton II,PG
212,Gary Trent Jr.,SG
213,George Hill,SG
214,George King,SF
215,Georges Niang,SF
216,Gerald Green,SG
217,Giannis Antetokounmpo,SF
218,Glenn Robinson III,SF
219,Goga Bitadze,C
220,Goran Dragic,PG
221,Gordon Hayward,SF
222,Gorgui Dieng,C
223,Grant Williams,PF
224,Grayson Allen,SG
225,Greg Monroe,C
226,Guerschon Yabusele,SF
227,Hamidou Diallo,SG
228,Harrison Barnes,SF
229,Harry Giles III,C
230,Hassan Whiteside,C
231,Haywood Highsmith,SG
232,Henry Ellenson,PF
233,Ian Clark,SG
234,Ian Mahinmi,C
235,Ignas Brazdeikis,SF
236,Ike Anigbogu,C
237,Iman Shumpert,SG
238,Isaac Bonga,SF
239,Isaac Humphries,C
240,Isaiah Briscoe,SG
241,Isaiah Canaan,SG
242,Isaiah Hartenstein,SF
243,Isaiah Hicks,SF
244,Isaiah Roby,SF
245,Isaiah Thomas,PG
246,Ish Smith,PG
247,Ivan Rabb,PF
248,Ivica Zubac,C
249,J.J. Barea,PG
250,J.P. Macura,SG
251,Ja Morant,PG
252,Jabari Parker,PF
253,Jacob Evans,SG
254,Jae Crowder,SF
255,Jahlil Okafor,C
256,JaKarr Sampson,SF
257,Jake Layman,SF
258,Jakob Poeltl,C
259,Jalen Brunson,PG
260,Jalen Jones,SF
261,Jalen Lecque,SG
262,Jalen McDaniels,PF
263,Jamal Crawford,SG
264,Jamal Murray,SG
265,James Ennis III,SF
266,James Harden,SG
267,James Johnson,SF
268,James Nunnally,SG
269,JaMychal Green,SF
270,Jared Dudley,SF
271,Jared Harper,PG
272,Jared Terrell,SG
273,Jarell Martin,SF
274,Jaren Jackson Jr.,PF
275,Jaron Blossomgame,SF
276,Jarred Vanderbilt,PF
277,Jarrell Brantley,PF
278,Jarrett Allen,C
279,Jarrett Culver,SG
280,Jarrod Uthoff,SF
281,Jason Smith,SF
282,JaVale McGee,C
283,Javonte Green,SG
284,Jawun Evans,SG
285,Jaxson Hayes,C
286,Jaylen Adams,SG
287,Jaylen Brown,SG
288,Jaylen Hoard,SF
289,Jaylen Morris,SG
290,Jaylen Nowell,SG
291,Jayson Tatum,PF
292,Jeff Green,SF
293,Jeff Teague,SG
294,Jemerrio Jones,SF
295,Jerami Grant,SF
296,Jeremiah Martin,PG
297,Jeremy Lamb,SG
298,Jeremy Lin,SG
299,Jeremy Pargo,PG
300,Jerian Grant,PG
301,Jerome Robinson,SG
302,Jerryd Bayless,SG
303,Jevon Carter,PG
304,Jimmer Fredette,SG
305,Jimmy Butler,SF
306,JJ Redick,SG
307,Joakim Noah,C
308,Jodie Meeks,SG
309,Joe Chealey,SG
310,Joe Harris,SF
311,Joe Ingles,SG
312,Joel Embiid,C
313,John Collins,PF
314,John Henson,PF
315,John Holland,SG
316,John Jenkins,SG
317,John Konchar,SG
318,John Wall,PG
319,Johnathan Motley,PF
320,Johnathan Williams,SF
321,Jon Leuer,SF
322,Jonah Bolden,PF
323,Jonas Jerebko,SF
324,Jonas Valanciunas,C
325,Jonathan Isaac,PF
326,Jonathon Simmons,SG
327,Jordan Bell,SF
328,Jordan Bone,SG
329,Jordan Clarkson,PG
330,Jordan Loyd,SG
331,Jordan McLaughlin,PG
332,Jordan McRae,SG
333,Jordan Poole,SG
334,Jordan Sibert,SG
335,Jose Calderon,SG
336,Josh Gray,SG
337,Josh Hart,SF
338,Josh Jackson,SG
339,Josh Magette,PG
340,Josh Okogie,SF
341,Josh Reaves,SG
342,Josh Richardson,SG
343,JR Smith,SG
344,Jrue Holiday,SG
345,Juan Hernangomez,PF
346,JuanToscanoAnderson,SF
347,Julian Washburn,SF
348,Julius Randle,PF
349,Justin Anderson,SG
350,Justin Holiday,SF
351,Justin Jackson,SF
352,Justin James,SG
353,Justin Patton,SF
354,Justin Robinson,PG
355,Justin Wright Foreman,PG
356,Justise Winslow,SF
357,Jusuf Nurkic,C
358,Juwan Morgan,SF
359,Kadeem Allen,SG
360,Kalin Lucas,SG
361,Karl Anthony Towns,C
362,Kawhi Leonard,SF
363,Keita Bates Diop,SF
364,Kelan Martin,SF
365,Keldon Johnson,SF
366,Kelly Olynyk,PF
367,Kelly Oubre Jr.,SF
368,Kemba Walker,PG
369,Kendrick Nunn,SG
370,Kenneth Faried,SF
371,Kenrich Williams,SG
372,Kent Bazemore,SG
373,Kentavious Caldwell Pope,SG
374,Kevin Durant,SF
375,Kevin Hervey,PF
376,Kevin Huerter,SG
377,Kevin Knox II,SF
378,Kevin Love,PF
379,Kevin Porter Jr.,SG
380,Kevon Looney,PF
381,Khem Birch,PF
382,Khris Middleton,SF
383,Khyri Thomas,SG
384,Klay Thompson,SG
385,Kobi Simmons,PG
386,Kosta Koufos,C
387,Kostas Antetokounmpo,PF
388,Kris Dunn,SG
389,Kristaps Porzingis,PF
390,Ky Bowman,SG
391,Kyle Alexander,SF
392,Kyle Anderson,SF
393,Kyle Guy,SG
394,Kyle Korver,SG
395,Kyle Kuzma,PF
396,Kyle Lowry,PG
397,Kyle O'Quinn,C
398,Kyrie Irving,PG
399,KZ Okpala,SF
400,LaMarcus Aldridge,PF
401,Lance Stephenson,SG
402,Lance Thomas,SF
403,Landry Shamet,SG
404,Langston Galloway,SG
405,Larry Nance Jr.,PF
406,Lauri Markkanen,PF
407,LeBron James,SF
408,Lonnie Walker IV,SG
409,Lonzo Ball,PG
410,Lorenzo Brown,SG
411,Lou Williams,SG
412,Louis King,SF
413,Luc Mbaha Moute,PF
414,Luguentz Dort,SG
415,Luka Doncic,SG
416,Luka Samanic,PF
417,Luke Kennard,SG
418,Luke Kornet,C
419,Luol Deng,SF
420,Malachi Richardson,SG
421,Malcolm Brogdon,PG
422,Malcolm Miller,SG
423,Malik Beasley,SG
424,Malik Monk,SG
425,Malik Newman,SG
426,Marc Gasol,C
427,Marcin Gortat,C
428,Marco Belinelli,SG
429,Marcus Derrickson,SF
430,Marcus Morris,SF
431,Marcus Morris Sr.,SF
432,Marcus Smart,PG
433,Marial Shayok,SG
434,Mario Hezonja,SF
435,Markelle Fultz,PG
436,Markieff Morris,PF
437,Marko Guduric,SG
438,Marques Bolden,C
439,Marquese Chriss,C
440,MarShon Brooks,SG
441,Marvin Bagley III,PF
442,Marvin Williams,SF
443,Mason Plumlee,PF
444,Matisse Thybulle,SG
445,Matt Mooney,SG
446,Matt Thomas,SG
447,Matthew Dellavedova,PG
448,Maurice Harkless,SF
449,Max Strus,SG
450,Maxi Kleber,PF
451,Melvin Frazier Jr.,SG
452,Meyers Leonard,C
453,Mfiondu Kabengele,PF
454,Michael Beasley,SF
455,Michael Frazier,SG
456,Michael Kidd Gilchrist,SF
457,Michael Porter Jr.,PF
458,MichaelCarterWilliams,PG
459,Mikal Bridges,SF
460,Mike Conley,PG
461,Mike Muscala,PF
462,Mike Scott,PF
463,Miles Bridges,SF
464,Miles Plumlee,C
465,Milos Teodosic,SG
466,Mitchell Creek,SG
467,Mitchell Robinson,C
468,Miye Oni,SG
469,Mo Bamba,C
470,Monte Morris,SG
471,Montrezl Harrell,SF
472,Moritz Wagner,PF
473,Moses Brown,C
474,Mychal Mulder,SG
475,Myles Turner,C
476,Nassir Little,SF
477,Naz Mitrou Long,SG
478,Naz Reid,C
479,Nemanja Bjelica,PF
480,Nene,C
481,Nerlens Noel,C
482,Nick Young,SG
483,Nickeil Alexander Walker,SG
484,Nicolas Batum,SF
485,Nicolas Claxton,PF
486,Nicolo Melli,PF
487,Nigel Williams Goss,PG
488,Nik Stauskas,SG
489,Nikola Jokic,C
490,Nikola Mirotic,SF
491,Nikola Vucevic,C
492,Noah Vonleh,SF
493,Norman Powell,SG
494,Norvel Pelle,SF
495,OG Anunoby,SF
496,Okaro White,SF
497,Omari Spellman,SF
498,Omri Casspi,SF
499,Oshae Brissett,SF
500,Otto Porter Jr.,SF
501,P.J. Tucker,PF
502,Pascal Siakam,PF
503,Pat Connaughton,SG
504,Patrick Beverley,PG
505,Patrick McCaw,SF
506,Patrick Patterson,PF
507,Patty Mills,PG
508,Pau Gasol,PF
509,Paul George,SG
510,Paul Millsap,SF
511,Paul Watson,SF
512,PJ Dozier,SF
513,PJ Washington,PF
514,Quincy Acy,SF
515,Quincy Pondexter,SF
516,Quinn Cook,PG
517,Quinndary Weatherspoon,SG
518,Rajon Rondo,SG
519,Raul Neto,SG
520,Rawle Alkins,SG
521,Ray Spalding,PF
522,Rayjon Tucker,SG
523,Raymond Felton,SG
524,Reggie Bullock,SF
525,Reggie Jackson,PG
526,Richaun Holmes,C
527,Ricky Rubio,SG
528,RJ Barrett,SG
529,RJ Hunter,SG
530,Robert Covington,PF
531,Robert Williams,C
532,Robin Lopez,C
533,Rodions Kurucs,SF
534,Rodney Hood,SF
535,Rodney McGruder,SG
536,Romeo Langford,SG
537,Ron Baker,SG
538,Rondae Hollis Jefferson,SF
539,Royce O'Neale,SF
540,Rudy Gay,SF
541,Rudy Gobert,C
542,Rui Hachimura,PF
543,Russell Westbrook,PG
544,Ryan Anderson,PF
545,Ryan Arcidiacono,PG
546,Ryan Broekhoff,SG
547,Salah Mejri,C
548,Sam Dekker,SF
549,Scott Machado,SG
550,Sekou Doumbouya,SF
551,Semi Ojeleye,PF
552,Serge Ibaka,C
553,Seth Curry,SG
554,Shabazz Napier,PG
555,Shai Gilgeous Alexander,SG
556,Shake Milton,SG
557,Shamorie Ponds,PG
558,Shaquille Harrison,PG
559,Shaun Livingston,SG
560,Shelvin Mack,SG
561,Sindarius Thornwell,SG
562,Skal Labissiere,PF
563,Solomon Hill,SF
564,Spencer Dinwiddie,PG
565,Stanley Johnson,SF
566,Stanton Kidd,SF
567,Stephen Curry,PG
568,Sterling Brown,SG
569,Steven Adams,C
570,Sviatoslav Mykhailiuk,SG
571,T.J. Leaf,PF
572,T.J. McConnell,PG
573,T.J. Warren,SF
574,Tacko Fall,C
575,Tahjere McCall,SG
576,Taj Gibson,C
577,TalenHortonTucker,SG
578,Tariq Owens,SF
579,Taurean Prince,PF
580,Terance Mann,SG
581,Terence Davis,SG
582,Terrance Ferguson,SF
583,Terrence Jones,PF
584,Terrence Ross,SG
585,Terry Rozier,PG
586,Thabo Sefolosha,SF
587,Thaddeus Young,PF
588,Thanasis Antetokounmpo,SF
589,Theo Pinson,SG
590,Thomas Bryant,C
591,Thomas Welsh,C
592,Thon Maker,C
593,Tim Frazier,PG
594,Tim Hardaway Jr.,SG
595,Timothe Luwawu Cabarrot,SG
596,Tobias Harris,SF
597,Tomas Satoransky,SG
598,Tony Bradley,C
599,Tony Parker,SG
600,Tony Snell,SF
601,Torrey Craig,SG
602,Trae Young,PG
603,Tremont Waters,PG
604,Treveon Graham,SG
605,Trevon Duval,SG
606,Trevor Ariza,SF
607,Trey Burke,PG
608,Trey Lyles,C
609,Tristan Thompson,C
610,Troy Brown Jr.,SF
611,Troy Caupain,SG
612,Troy Daniels,SG
613,Troy Williams,SF
614,Ty Jerome,SG
615,Tyler Cavanaugh,SF
616,Tyler Cook,PF
617,Tyler Davis,C
618,Tyler Dorsey,SG
619,Tyler Herro,SG
620,Tyler Johnson,SG
621,Tyler Lydon,SF
622,Tyler Ulis,SG
623,Tyler Zeller,C
624,Tyreke Evans,SG
625,Tyrone Wallace,SG
626,Tyson Chandler,C
627,Tyus Jones,PG
628,Udonis Haslem,PF
629,Vic Law,SF
630,Victor Oladipo,SG
631,Vince Carter,SG
632,Vincent Edwards,SF
633,Vincent Poirier,C
634,Vlatko Cancar,SF
635,Wade Baldwin IV,SG
636,Walt Lemon Jr.,SG
637,Wayne Ellington,SG
638,Wayne Selden,SG
639,Wendell Carter Jr.,C
640,Wenyen Gabriel,PF
641,Wes Iwundu,SF
642,Wesley Johnson,SF
643,Wesley Matthews,SG
644,Will Barton,SG
645,William Howard,SG
646,Willie Cauley Stein,C
647,Willy Hernangomez,C
648,Wilson Chandler,SF
649,Yante Maten,SF
650,Yogi Ferrell,PG
651,Yuta Watanabe,SG
652,Zach Collins,PF
653,Zach LaVine,PG
654,Zach Lofton,SG
655,Zach Norvell Jr.,SG
656,Zaza Pachulia,C
657,Zhaire Smith,SG
658,Zhou Qi,C
659,Zion Williamson,SF
660,Zylan Cheatham,SF